time,low,high,open,close,volume
1529409600,6653.0,6841.74,6726.11,6741.21,13170.313863
1529452800,6551.81,6745.06,6740.0,6626.61,12326.407427
1529496000,6572.0,6817.23,6626.6,6761.51,14033.345025
1529539200,6680.0,6795.0,6763.21,6732.85,12833.964411
